Year,Month,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),C02 Flux (t/d),SO2 Flux (t/d),Rainfall,Tmax,Tmin,RH,WindSpeed,WindDirection
2016,2,25.84166667,25.81666667,25.65,8.020833333,0.186666667,0.077272727,,4.939166667,,,45.3,30.7,22.5,79,3,40
2016,3,28.125,26.98333333,26.79166667,8.520833333,0.23,0.12,,4.709166667,,,10.2,33.5,22.1,79,2,40
2016,4,29.14166667,27.61666667,27.225,8.820833333,0.335833333,0.13575,,7.851666667,,,8.2,35.8,24.2,75,1,40
2016,5,31.7,28.21666667,27,8.754166667,0.31,,,5.280833333,,,101.4,35.9,25,78,1,40
2016,6,30.7,28.15,27.6,8.3725,0.2,0.003333333,,4.674166667,,,95.6,34.5,24.6,85,1,220
2016,7,31.60833333,28.29166667,27.58333333,8.5075,0.328333333,,,7.424166667,465,,225.5,33.7,24.1,86,1,40
2016,8,29.26666667,28.36666667,27.69166667,8.68,0.375833333,0.008583333,,6.175,,,375.4,31.8,25,86,2,220
2016,9,30.05,28.525,27.475,8.871666667,0.072727273,0,,7.129166667,,,167,32.6,24.1,86,1,220
2016,10,29.825,28.55,27.61666667,8.585,0.235833333,0.070833333,,4.753333333,,,312.5,32,23.8,87,1,220
2016,11,28.20833333,27.43333333,26.825,7.580833333,0.349166667,0.065833333,,4.783333333,,,162.1,31.5,23.5,85,2,40
2016,12,28.075,28.01666667,27.55,7.454166667,0.461666667,0.071666667,,7.076666667,,,187.3,31,23.8,84,2,40
2017,1,26.84545455,26.75454545,26.78181818,7.087272727,0.194545455,0.142636364,,5.039090909,460,,87.1,29.8,22.9,83,3,40
2017,2,26.15,26.1625,26.1125,7.96875,0.272,0.15325,,5.03125,,,20.2,30.4,21.4,80,3,40
2017,3,27.22727273,26.81818182,26.87272727,7.888181818,0.22,0.201818182,,4.3,,,19.4,32.3,22.4,77,2,40
2017,4,28.98333333,27.275,26.98333333,8.173611111,0.17,0.173333333,,6.955,390,,17.8,34.6,23.8,77,2,40
2017,5,30.325,27.98333333,27.56666667,8,0.249166667,0.095833333,,6.688333333,,,126.6,35.1,25,80,1,220
2017,6,32.05833333,28.14166667,27.50833333,8.034722222,0.735,0.163333333,,5.661666667,,,115.8,34.8,24.2,83,1,220
2017,7,31.63333333,27.75833333,27.24166667,8.26,0.4225,0.135833333,,3.595833333,598,,254,32.3,24.4,85,1,220
2017,8,30.275,28.325,27.53333333,8.640833333,0.355833333,0.090833333,,4.780833333,,,375,33,24.1,86,2,220
2017,9,30.81666667,29.025,28.21666667,8.319166667,0.003,0.053333333,,4.780833333,,,585,32.9,24.1,87,1,220
2017,10,30.53333333,29.05,28.35833333,8.556666667,0.029166667,0.000333333,,3.929166667,,,241.7,31.9,24,88,1,40
2017,11,29.71666667,28.475,27.88333333,8.478333333,0.408333333,0.05,,4.765,446,,189.7,31.9,24.5,85,2,40
2017,12,28.95,28.45,28.00833333,8.3225,0.693333333,0.048333333,,5.249166667,,,183.7,30.3,23.6,84,2,40
2018,1,27.24444444,26.97777778,26.9,8.07,0.555555556,0.117777778,2.29,3.98,,,40.1,30,22.8,82,3,40
2018,2,27.06666667,26.87777778,26.68888889,7.841111111,0.426666667,0.231111111,2.386666667,4.08,,,2.4,31.6,22.9,80,2,40
2018,3,27.98888889,27.42222222,27.06666667,8.174444444,0.374444444,0.087777778,2.44,4.842222222,984,,4,32.3,22.8,77,2,40
2018,4,28.45555556,27.34444444,26.96666667,8.276666667,0,0.106666667,2.361111111,4.967777778,,,6.02,34.6,23.9,75,2,40
2018,5,30.38888889,28.38888889,27.63333333,8.401111111,0.041666667,,2.434444444,6.267777778,,,131.5,34.9,24.6,79,1,70
2018,6,31.48888889,29.14444444,28,8.313333333,0.374444444,0.09,2.565555556,4.71,,,488.4,32.3,24.1,85,1,70
2018,7,30.33333333,28.42222222,27.87777778,8.295555556,0.28,0.051111111,2.515555556,5.255555556,,,596.2,31.2,24.1,87,2,70
2018,8,29.82222222,28.4,27.75555556,8.343333333,0.37,0.055888889,2.464444444,5.978888889,251,,160.8,31.7,24.6,84,2,230
2018,9,29.16666667,28.35555556,28.01111111,8.272222222,0.4,0.073333333,2.394444444,6.361111111,,,255.6,32,23.8,86,1,220
2018,10,30.37777778,28.3,27.87777778,8,0.35,0.071111111,2.342222222,6.391111111,,,127.7,32.8,23.3,82,1,40
2018,11,29.24444444,28.41111111,27.54444444,7.887777778,0.331111111,0.074444444,2.485555556,4.666666667,,,20.3,31.9,23.8,81,2,40
2018,12,28.06666667,27.93333333,27.5,7.854444444,0.162857143,0.127777778,2.482222222,4.567777778,,,286.2,30.1,23.7,84,2,40
2019,1,26.7,26.61428571,26.52857143,8.165714286,0.16,0.244285714,2.421428571,3.565714286,,,17.3,29.9,22.3,80,3,40
2019,2,26.725,26.7,26.5875,7.8225,0.02375,0.2525,2.3625,3.36375,,,9.1,31,20.7,77,2,40
2019,3,27.56666667,26.74444444,26.53333333,7.915555556,0.142222222,0.187777778,2.401111111,5.026666667,311,,0,33.1,21.9,74,2,40
2019,4,29.22222222,27.62222222,26.83333333,8.046666667,0.177777778,0.226666667,2.488888889,5.316666667,,,0.2,35,23.6,72,2,40
2019,5,31.86666667,28.26666667,27.17777778,8.138888889,0.166666667,0.168888889,2.552222222,4.293333333,,,139.2,34.7,24.6,82,1,210
2019,6,31.75555556,28.6,27.11111111,8.231111111,0.391111111,0.112222222,2.574444444,3.863333333,,,150.2,34.9,25.3,81,2,40
2019,7,31.51111111,29.11111111,27.74444444,8.027777778,0.28,0.07,2.598888889,4.834444444,,,243.9,32.7,24.1,86,2,240
2019,8,28.78571429,28.72857143,27.9,8.178571429,0.165714286,0.13,2.545714286,4.874285714,1303,,323,31.3,24.9,86,2,240
2019,9,29.1625,28.675,27.4625,7.96875,0.29375,0.01875,2.5,3.87625,,,234.6,31.6,24.3,87,2,240
2019,10,29.9,28.88888889,27.44444444,8.018888889,0.288888889,0.021111111,2.472222222,3.935555556,1147,,38.1,32.9,23.5,82,2,20
2019,11,29.36666667,28.74444444,27.81111111,8.03,0.243333333,0.023333333,2.286666667,4.04,1364,,145.2,31.8,23.8,84,2,40
2019,12,28.09,27.82,27.68,7.815,0.365,0.18,2.628,3.204,,,194.1,30.7,23.5,83,2,40
2020,2,26.41428571,26.4,26.28571429,7.225714286,0.15,0.154285714,2.528571429,2.734285714,92.88888889,,-999,-999,-999,-999,-999,-999
2020,3,28.97777778,27.27777778,26.93333333,7.526666667,0.072222222,0.077777778,2.485555556,5.955555556,,,28.2,30.3,22.3,78,3,40
2020,4,29.88888889,28.32222222,27.2,8.865555556,0.271111111,0.141111111,2.693333333,5.503333333,,,4.4,33.5,23.1,77,2,40
2020,5,31.8,29.06666667,27.17777778,8.184444444,0.147777778,0.197777778,2.6,5.255555556,,,3,34.4,24.4,74,2,40
2020,6,31.13333333,29.2,27.15555556,8.101111111,0.186666667,0.081111111,2.488888889,4.741111111,,,114,35.3,25.1,79,2,40
2020,7,31.81111111,29.43333333,27.53333333,8.16,0.267777778,0.036666667,3,3.578888889,,,124.6,34,24.7,83,1,220
2020,8,31.2125,28.025,27.475,7.8025,0.39125,0.035,,3.71,,,255,33.3,24.2,86,1,40
2020,9,31.34444444,29.71111111,28.21111111,8.074444444,0.118888889,0.033333333,2.404444444,5.233333333,50,,173.9,32.5,24.1,86,1,40
2020,10,31.41111111,30.11111111,28.6,8.333333333,0.213333333,0.04,2.435555556,4.938888889,,,101.7,33.1,24.3,86,1,220
2020,11,28.35555556,28.12222222,27.51111111,7.908888889,0.285555556,0.08,2.557777778,4.971111111,,,481.3,31.5,24.1,87,2,40
2020,12,27.96,27.82,27.44,7.65,0.26,0.068,2.422,5.282,,,424,31.1,23.7,84,2,40
2021,1,26.8,26.8,26.8,7.75,0.27,,2.6325,4.0175,,,149.9,30.6,24.1,85,2,40
2021,2,26.9375,26.8,26.75,7.77875,0.23,,2.545,5.855,,,51.6,29.5,23.4,82,3,40
2021,3,28.52,27.28,27.04,7.884,0.222,,2.536,5.572,,865.4090909,35.1,30.5,22.6,81,2,40
2021,4,29.38888889,28.12222222,27.41111111,7.99,0.254444444,,2.301111111,5.924444444,,1558.678571,43.2,32.5,23.7,80,2,40
2021,5,29.7875,28.475,27.275,8.0425,0.00625,,,6.26625,,2961.571935,11.4,33.4,23,77,2,40
2021,6,31.15555556,29.28888889,27.91111111,8.074444444,0.174444444,5.67,2.478888889,5.995555556,,4631.535714,56.6,35,25.1,76,2,40
2021,7,30.32,28.76,27.8,8.066,0.106,0.196,2.75,4.892,,6148.62963,174.6,33.1,24.3,84,2,360
2021,8,29.54444444,29.02222222,27.81111111,8.296666667,0.316666667,0.052222222,2.57,5.712222222,,5973.086957,632,31.5,24.9,85,3,220
2021,9,29.6,28.96666667,28.08888889,8.207777778,0.466666667,0.111111111,2.678888889,4.982222222,,7785.37037,168.4,31.9,24.5,84,2,360
2021,10,29.325,28.9375,27.925,8.1625,,0.175,2.59625,4.62,,9550.62069,295.7,31.9,23.9,85,2,360
2021,11,28.7125,28.2875,27.8375,7.91,0.1525,0.154,,5.215,,8704.392857,161,31.4,24.5,83,2,360
2021,12,30.125,26.9,26.83333333,8.0775,0.1525,,,4.61,,7130.75,51.3,31.8,24.3,80,2,40
2022,1,26.8125,26.6625,26.6,7.92,0.15875,0.23875,2.67125,3.81,,10213.23077,91.4,29.7,23.2,78,3,40
2022,2,27.27777778,26.9,26.73333333,8.154444444,0.166666667,0.245555556,2.722222222,5.281111111,,5973.666667,15.8,30.1,22.5,78,3,40
2022,3,28.58888889,27.24444444,27.16666667,8.138888889,0.223333333,0.167777778,2.595555556,5.893333333,865.4090909,9833.5,35.4,30.4,23.5,78,3,40
2022,4,29.24444444,27.7,27.46666667,7.798888889,,,2.522222222,6.147777778,1558.678571,3167.5,40.8,33.3,24,75,2,40
2022,5,30.75,28.28333333,27.86666667,8.053333333,,,2.696666667,5.68,2961.571935,996.2727273,117.6,32.1,24.1,78,2,40
2022,6,32.1,29.13333333,28.13333333,8.143333333,0.368888889,0.157777778,2.557777778,5.286666667,4631.535714,1715.714286,284,33.6,24,79,1,360
2022,7,31.02222222,29.23333333,28.04444444,8.355555556,0.41,0.097777778,2.575555556,3.858888889,6148.62963,3018.666667,253.5,32.9,24.1,83,1,360
2022,8,30.76666667,29.42222222,28.01111111,9.16,0.208888889,0.08875,2.338888889,4.52,5973.086957,5230.653846,199.7,32.4,24.4,84,1,360
2022,9,27.1875,29.3875,27.9,8.49875,0.4725,0.1175,2.4425,5.2875,7785.37037,4949.888889,275.5,31.6,23.9,86,1,360
2022,10,28.46,28.32,27.88,8.158,0.536,0.172,2.508,5.03,9550.62069,3213,325,31.5,24.1,85,2,360
2022,11,28.86666667,28.66666667,27.9,8.143333333,0.593333333,0.12,2.46,4.53,8704.392857,1603.25,475.7,31.6,24.3,84,2,360
2022,12,28.6375,28.475,27.9375,8.00125,0.665,0.145,2.32875,5.36625,7130.75,2981.777778,79,31.6,24.4,82,2,40
2023,1,26.8125,26.8125,,7.76375,0.75,0.296666667,2.63,2.815,,5307.125,116.5,29.8,23.5,82,2,40
2023,2,31.8625,31.725,,8.19375,0.68625,0.206666667,2.6825,6.57375,,4345.333333,203.3,28.6,23.2,80,3,40
2023,3,26.7375,26.725,,8.20625,0.84125,0.245,2.6,5.82625,,3279.833333,22.7,30.2,23.1,77,3,40
2023,4,29.825,27,,8.755,0.77875,0.055714286,2.58625,8.83625,,2941.625,0.8,31.8,22.5,70,2,40
2023,5,30.875,27.4875,,8.7825,1.005,0.095,2.53625,7.95375,,3555.375,101.4,33.3,23.7,75,1,40
2023,6,31.275,28.45,,8.85625,0.63125,0.165,2.49625,6.72875,,5611.076923,89.8,33.8,25.1,78,2,40
2023,7,31.525,27.9875,,8.86375,0.225,0.068,2.39,5.81625,,4913.111111,252.9,32.8,24.6,82,1,220
2023,8,30.575,29.325,,8.605,0.1775,0.14,2.535,6.65625,,2628,394.1,32.3,24.7,82,2,220
2023,9,30.4375,29.2,,8.5725,0.25375,0.093333333,2.46875,6.4175,,2991.4,143.7,32.2,25.5,81,3,240
2023,10,28.8375,27.3875,,8.5075,0.285,0.048571429,2.583333333,5.41,,6146.545455,163.4,32.5,24.6,84,2,240
2023,11,27.05,26.9375,26.125,8.28375,0.3475,0.115,,5.02125,,8144,89.9,31.5,24.5,82,2,40
2023,12,27.25,26.925,26.675,8.2325,0.2875,0.11125,,5.30625,,8832.875,166.6,31.2,24.5,81,2,40
2024,1,25.975,25.675,25.625,8.0775,0.2925,0.2,,4.8875,,11845.11111,127.9,31,24,81,2,40
2024,2,25.2875,25.0875,24.925,7.93125,0.31625,0.2375,3.025,4.01875,,9449.9,,,,,,
2024,3,26,25.6625,25.225,8.32,0.27,0.1575,2.8725,6.45375,,9988.769231,,,,,,
2024,4,28.15,26.3375,25.625,8.875,0.4875,0.1225,2.85125,8.00125,,5521.2,,,,,,
2024,5,30.2375,28.4875,26.2375,8.7725,0.44625,0.05125,,4.85375,,4360.333333,,,,,,
2024,6,30.1875,26.875,26.275,8.735,0.2725,,,5.62625,,4845.375,,,,,,
2024,7,30.3875,28.9,26.325,8.7,0.215,,2.6325,5.4575,,4259.857143,,,,,,
2024,8,29.5625,27.475,26.7,8.7575,0.2275,0.41625,2.65375,7.04125,,4153.818182,,,,,,
2024,9,28.9625,27.8875,26.1,8.5575,0.2575,0.075,2.88125,5.84125,,4447,,,,,,
2024,10,29.35,28.1625,26.7625,8.71125,0.46375,0.1775,2.44625,5.84375,,1803.2,,,,,,
2024,11,28.2625,27,26.475,8.45,0.3675,,2.48,5.54375,,5283,,,,,,
2024,12,26.9875,26.8375,26.7,8.56625,0.4925,0.25375,2.945,4.61125,,3469.75,,,,,,
2025,1,25.6625,25.3875,25.35,7.385,0.32375,,3.575,4.3225,,,,,,,,
2025,2,27.975,27.45,27.15,8.0875,0.3825,,2.78375,6.6,,,,,,,,
